country,var,time,N,res,percent,reference,antibiotic,subsource,infection_colonisation,link,origin,assumption,notes
denmark,H,2011,3636,294.516,8.1,DANMAP 2020 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,"DANMAP defines 3gcp as Cefoperazone, ceftiofur, cefovecin for animals and Cefotaxime, ceftazidime, ceftriaxone, ceftazidime/avibactam for humans"
denmark,H,2012,3922,278.462,7.1,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,"ESPAUR deifnes 3gcp as cefotaxime, ceftazidime, cefpodoxime and ceftriaxone."
denmark,H,2013,3967,305.459,7.3,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2014,4492,314.44,7,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2015,4618,332.496,7.2,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2016,4841,324.347,6.7,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2017,5114,342.638,6.7,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2018,5398,394.054,7.5,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2019,5613,387.297,7,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2020,5870,363.94,6.3,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
denmark,H,2021,5981,322.974,5.4,DANMAP 2021 Figure 8.3,all 3gcp,invasive e. coli isolates from all humans,I,,,,
germany,E,2016,177,144.963,81.9,GERMANY https://www.sciencedirect.com/science/article/abs/pii/S0167587716300010?via%3Dihub,cefotaxime,boot and dust on broiler farms,,GERMANY https://www.sciencedirect.com/science/article/abs/pii/S0167587716300010?via%3Dihub,,Germany ,
denmark,A,2010,32,0,0,DANMAP data explorer,ceftiofur,Beef,,,Danish,,
denmark,A,2011,37,0,0,DANMAP data explorer,ceftiofur,Beef,,,Danish,,
denmark,A,2012,46,0,0,DANMAP data explorer,ceftiofur,Beef,,,Danish,,
denmark,A,2013,24,0,0,DANMAP data explorer,ceftiofur,Beef,,,Danish,,
denmark,A,2010,39,1,0.39,DANMAP data explorer,ceftiofur,Beef,,,Import,,
denmark,A,2011,44,0,0,DANMAP data explorer,ceftiofur,Beef,,,Import,,
denmark,A,2012,52,0,0,DANMAP data explorer,ceftiofur,Beef,,,Import,,
denmark,A,2013,35,0,0,DANMAP data explorer,ceftiofur,Beef,,,Import,,
denmark,A,2010,158,1,1.58,DANMAP data explorer,ceftiofur,Broiler meat,,,Danish,,
denmark,A,2011,122,3,3.66,DANMAP data explorer,ceftiofur,Broiler meat,,,Danish,,
denmark,A,2012,197,2,3.94,DANMAP data explorer,ceftiofur,Broiler meat,,,Danish,,
denmark,A,2013,116,2,2.32,DANMAP data explorer,ceftiofur,Broiler meat,,,Danish,,
denmark,A,2010,177,12,21.24,DANMAP data explorer,ceftiofur,Broiler meat,,,Import,,
denmark,A,2011,140,10,14,DANMAP data explorer,ceftiofur,Broiler meat,,,Import,,
denmark,A,2012,166,14,23.24,DANMAP data explorer,ceftiofur,Broiler meat,,,Import,,
denmark,A,2013,136,12,16.32,DANMAP data explorer,ceftiofur,Broiler meat,,,Import,,
denmark,A,2010,118,0,0,DANMAP data explorer,ceftiofur,Broilers,,,Danish,,
denmark,A,2011,131,1,1.31,DANMAP data explorer,ceftiofur,Broilers,,,Danish,,
denmark,A,2012,115,2,2.3,DANMAP data explorer,ceftiofur,Broilers,,,Danish,,
denmark,A,2013,125,2,2.5,DANMAP data explorer,ceftiofur,Broilers,,,Danish,,
denmark,A,2010,106,0,0,DANMAP data explorer,ceftiofur,Cattle,,,Danish,,
denmark,A,2011,93,0,0,DANMAP data explorer,ceftiofur,Cattle,,,Danish,,
denmark,A,2012,98,0,0,DANMAP data explorer,ceftiofur,Cattle,,,Danish,,
denmark,A,2013,103,0,0,DANMAP data explorer,ceftiofur,Cattle,,,Danish,,
denmark,A,2010,160,2,3.2,DANMAP data explorer,ceftiofur,Pigs,,,Danish,,
denmark,A,2011,157,2,3.14,DANMAP data explorer,ceftiofur,Pigs,,,Danish,,
denmark,A,2012,152,1,1.52,DANMAP data explorer,ceftiofur,Pigs,,,Danish,,
denmark,A,2013,146,0,0,DANMAP data explorer,ceftiofur,Pigs,,,Danish,,
denmark,A,2010,68,1,0.68,DANMAP data explorer,ceftiofur,Pork,,,Danish,,
denmark,A,2011,92,0,0,DANMAP data explorer,ceftiofur,Pork,,,Danish,,
denmark,A,2012,73,1,0.73,DANMAP data explorer,ceftiofur,Pork,,,Danish,,
denmark,A,2013,93,1,0.93,DANMAP data explorer,ceftiofur,Pork,,,Danish,,
denmark,A,2010,50,0,0,DANMAP data explorer,ceftiofur,Pork,,,Import,,
denmark,A,2011,30,1,0.3,DANMAP data explorer,ceftiofur,Pork,,,Import,,
denmark,A,2012,53,1,0.53,DANMAP data explorer,ceftiofur,Pork,,,Import,,
denmark,A,2013,50,0,0,DANMAP data explorer,ceftiofur,Pork,,,Import,,
denmark,A,2010,32,0,0,,cefotaxime,Beef,,,Danish,,
denmark,A,2011,37,0,0,,cefotaxime,Beef,,,Danish,,
denmark,A,2012,46,0,0,,cefotaxime,Beef,,,Danish,,
