country,drug,year,source,subsource,kg,reference,notes
denmark,cephalosporins,2021,animals,all animals,129,DANMAP 2021 Table 4.1,
denmark,3rd and 4th generation cephalosporins,2021,animals,pets and horses,77,DANMAP 2021 Table 4.1,
denmark,cephalosporins,2021,animals,pigs,0,DANMAP 2021 Table 4.1,
denmark,cephalosporins,2021,animals,pets,28,DANMAP 2021 Table 4.4,
denmark,3rd and 4th generation cephalosporins,2021,animals,pets,1,DANMAP 2021 pg 48 ,"In 2021, 3rd and 4th generation cephalosporins were only used for treatment of pets in the amount of 1 kg active compound (only products registered for veterinary use)."
denmark,5th and 4th generation cephalosporins,2021,animals,cattle,0,DANMAP 2021 pg 44,
denmark,cephalosporins,2020,animals,all animals,155,DANMAP 2020 Table 4.5,
denmark,3rd and 4th generation cephalosporins,2020,animals,all animals,8.9,DANMAP 2020 Table 4.5,
denmark,cephalosporins,2020,animals,pets,31,DANMAP 2021 Table 4.4,
denmark,4th and 4th generation cephalosporins,2020,animals,cattle,0,DANMAP 2021 pg 44,
denmark,cephalosporins,2019,animals,pets,32,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2019,humans,all humans,1533,DANMAP 2019 web appendix Table A5.1,
denmark,cephalosporins,2018,animals,all animals,180,DANMAP 2018 Table 4.1,
denmark,cephalosporins,2018,animals,pets,36,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2018,humans,all humans,1619,DANMAP 2019 web appendix Table A5.1,
denmark,cephalosporins,2017,animals,pets,42,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2017,humans,all humans,3104,DANMAP 2019 web appendix Table A5.1,
denmark,cephalosporins,2016,animals,all animals,206,DANMAP 2016 Table 4.1,
denmark,cephalosporins,2016,animals,pets,55,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2016,humans,all humans,1702,DANMAP 2016 web appendix Table A5.1,
denmark,cephalosporins,2015,animals,all animals,235,DANMAP 2015 Table 4.1,
denmark,cephalosporins,2015,animals,pets,62,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2015,humans,all humans,1853,DANMAP 2016 web appendix Table A5.1,
denmark,cephalosporins,2014,animals,pets,81,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2014,humans,all humans,2060,DANMAP 2016 web appendix Table A5.1,
denmark,cephalosporins,2013,animals,pets,75,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2013,humans,all humans,2328,DANMAP 2016 web appendix Table A5.1,
denmark,cephalosporins,2012,animals,pets,79,DANMAP 2021 Table 4.4,
denmark,cephalosporins,2012,humans,all humans,1983,DANMAP 2016 web appendix Table A5.1,
denmark,cephalosporins,2011,humans,all humans,2374,DANMAP 2016 web appendix Table A5.1,
denmark,cephalosporins,2010,humans,all humans,2696,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2009,humans,all humans,2740,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2008,humans,all humans,2530,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2007,humans,all humans,2285,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2006,humans,all humans,1778,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2005,humans,all humans,1582,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2004,humans,all humans,894,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2003,animals,all animals,461,DANMAP 2003 page 8,
denmark,cephalosporins,2003,humans,all humans,830,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2002,animals,all animals,385,DANMAP 2003 page 8,
denmark,cephalosporins,2002,humans,all humans,811,DANMAP 2010 Table 5.2,
denmark,cephalosporins,2001,humans,all humans,739,DANMAP 2010 Table 5.2,
england,3rd and 4th generation cephalosporins,2017,humans,all humans,4500,"UK One Health Report 2019 Joint report on antibiotic use and antibiotic resistance, 2013–2017",from UK 
england,3rd and 4th generation cephalosporins,2013,humans,all humans,3400,"UK One Health Report 2019 Joint report on antibiotic use and antibiotic resistance, 2013–2017",from UK 
england,3rd and 4th generation cephalosporins,2017,animals,all animals,900,"UK One Health Report 2019 Joint report on antibiotic use and antibiotic resistance, 2013–2017",from UK 
england,3rd and 4th generation cephalosporins,2013,animals,all animals,1200,"UK One Health Report 2019 Joint report on antibiotic use and antibiotic resistance, 2013–2017",from UK 
